link,No,Km,Year,HP,Price
yaris,,,,,
/offres/toyota-yaris-hybrid-1-5-vvt-i-style-electrique-essence-blanc-172606dc-f118-494f-b8f6-d49e2b3666cd?source=list_searchresults,1,42 000,11/2017,55 kW (75 CH),11 700
/offres/toyota-yaris-edition-s-hybrid-1-hand-klima-kamera-electrique-essence-blanc-fe581a7b-933d-4659-8a24-e56f98319360?source=list_searchresults,2,80 000,08/2016,55 kW (75 CH),12 500
link,No,Km,Year,HP,Price
peugeot_diesel,,,,,
/offres/peugeot-208-style-diesel-noir-fee059e2-f5e2-42d0-995e-eefdbde237ee?source=list_searchresults,1,87 775,03/2015,73 kW (99 CH),8 250
/offres/peugeot-208-blue-hdi-100-navi-klima-1-hand-diesel-blanc-979eb2cf-6808-4289-ac0d-8ff9220a0948?source=list_searchresults,2,79 826,06/2017,73 kW (99 CH),10 400
/offres/peugeot-208-bluehdi-100-allure-navi-shz-bt-kamera-diesel-bleu-44340d80-d03a-4d80-9ea8-989f25c290c3?source=list_searchresults,3,34 000,08/2018,73 kW (99 CH),11 450
/offres/peugeot-208-active-bluehdi-100-diesel-blanc-6e1369d9-de02-4515-ab73-e39e1eada696?source=list_searchresults,4,84 300,01/2018,73 kW (99 CH),11 490
link,No,Km,Year,HP,Price
clio,,,,,
/offres/renault-clio-iv-grandtour-limited-dci-90-klima-pdc-diesel-gris-abba7c79-b919-4036-ace2-8a9b010d14b5?source=list_searchresults,1,72 688,04/2018,66 kW (90 CH),9 990
/offres/renault-clio-iv-grandtour-limited-dci-90-klima-shz-diesel-gris-c1256a00-fa1e-4adc-8d83-c79a1b5ce135?source=list_searchresults,2,66 451,05/2018,66 kW (90 CH),10 290
/offres/renault-clio-iv-grandtour-limited-dci-90-klima-diesel-argent-97d0f37c-3194-4d1a-9dc3-cb614c2f7094?source=list_searchresults,3,46 733,04/2018,66 kW (90 CH),10 390
/offres/renault-clio-energy-dci-90-intens-diesel-blanc-1038cf3e-2ba2-43ea-ba83-b76c2082f8c1?source=list_searchresults,4,47 000,01/2017,66 kW (90 CH),11 950
/offres/renault-clio-grandtour-energy-dci-110-start-stop-intens-diesel-noir-f701f679-0c22-4b93-8e66-40dc9efa0042?source=list_searchresults,5,76 000,05/2017,81 kW (110 CH),11 400
/offres/renault-clio-iv-cargo-extra-diesel-gris-e680abb0-49df-452b-b4c3-b791f6b902d1?source=list_searchresults,6,69 000,05/2016,55 kW (75 CH),8 650
/offres/renault-clio-energy-dci-75-life-diesel-noir-727aac31-5fd4-44d6-b500-c6fdbc80467c?source=list_searchresults,7,66 000,03/2017,55 kW (75 CH),8 750
/offres/renault-clio-grandtour-dci-75-stop-navi-pdc-klima-euro-6-diesel-blanc-6e23a418-8eef-4ae3-9687-ff413fedfe80?source=list_searchresults,8,72 250,12/2016,55 kW (75 CH),8 750
/offres/renault-clio-grandtour-limited-dci-90-klima-diesel-blanc-734a1d28-afa8-4357-8a74-3937685fc990?source=list_searchresults,9,46 650,01/2017,66 kW (90 CH),9 490
/offres/renault-clio-dynamique-dci-90-energy-start-stop-navi-bt-alu-diesel-noir-5aa2bb2e-1912-4183-aac6-ed5941fe0aac?source=list_searchresults,10,48 200,08/2015,66 kW (90 CH),9 890
/offres/renault-clio-iv-grandtour-limited-dci-90-navi-klima-diesel-argent-ac9940e6-c13a-485e-9bac-9d68bc8f5d48?source=list_searchresults,11,65 817,04/2018,66 kW (90 CH),10 490
/offres/renault-clio-iv-grandtour-limited-dci-90-klima-diesel-argent-8449a72d-bcf5-4ba9-9da5-06327b52918e?source=list_searchresults,12,57 354,04/2018,66 kW (90 CH),10 790
/offres/renault-clio-iv-life-1-5-dci-75-eco-klima-bluetooth-diesel-blanc-71d4f265-1165-45d2-9a02-8c4e4639e8a4?source=list_searchresults,13,33 365,01/2018,55 kW (75 CH),10 990
/offres/renault-clio-grandtour-1-5dci-automatik-navi-shz-led-diesel-noir-b52c06e2-f0c0-4cf2-9ee0-db70f98497f6?source=list_searchresults,14,53 000,11/2016,66 kW (90 CH),11 600
/offres/renault-clio-iv-grandtour-limited-dci-90-shz-pdc-diesel-argent-feeaad43-1bab-4028-a514-a36d41f134f3?source=list_searchresults,15,22 319,08/2018,66 kW (90 CH),11 791
/offres/renault-clio-limited-1-5-dci-diesel-gris-dfa09a0f-083f-49b0-8989-48fdcb5bb57d?source=list_searchresults,16,52 458,10/2019,66 kW (90 CH),11 990
link,No,Km,Year,HP,Price
polo_diesel,,,,,
/offres/volkswagen-polo-1-4-tdi-blue-motion-technology-lounge-diesel-bleu-6e918e9d-bf3b-4058-83b4-c0350d964df9?source=list_searchresults,1,60 000,12/2015,66 kW (90 CH),9 800
/offres/volkswagen-polo-1-4-tdi-voll-sheft-klima-1-hand-tempo-aux-diesel-blanc-fa8dea0e-f2c0-4c4b-bbf6-ab06b27067f2?source=list_searchresults,2,24 713,05/2017,55 kW (75 CH),11 450
/offres/volkswagen-polo-comfortline-1-4-tdi-comfortline-navi-alu-sitzheiz-diesel-bleu-4f41efca-7f96-4614-a6cf-74fe45b7c9ad?source=list_searchresults,3,64 500,07/2016,55 kW (75 CH),11 600
/offres/volkswagen-polo-1-4-tdi-highline-klima-shz-alu-diesel-bleu-c5da1054-4269-4a65-98a5-ff32d766d387?source=list_searchresults,4,42 234,11/2015,77 kW (105 CH),12 390
/offres/volkswagen-polo-1-4-tdi-sound-bmt-usb-klima-pdc-shz-diesel-argent-ec59b280-cf47-4fcc-a905-f3cce0395209?source=list_searchresults,5,29 900,08/2017,55 kW (75 CH),12 490
link,No,Km,Year,HP,Price
polo_essence,,,,,
/offres/volkswagen-polo-comfortline-1-hand-alu-start-stop-klima-essence-rouge-ea8a0f23-d397-4733-9b88-28dbc8e0af20?source=list_searchresults,1,25 500,05/2017,66 kW (90 CH),11 999
